"lhs_id","TP","FN","OFF_TARGET","CORRECT_ABSENCE","neg_samples_n","neg_samples_fp","sensitivity_pct","specificity_like_pct","avg_sens_spec_like_pct","min_sens_spec_like_pct","aviti_bleed_ratio_min_pct","aviti_min_genome_coverage_pct","aviti_min_reads_per_million_filtered"
4093,19,15,1,357,14,0,55.88,100,77.94,55.88,4.94002740284691,38.9647869185881,5.84618688109536
4094,21,13,2,356,14,0,61.76,100,80.88,61.76,2.29614666508299,21.845152163411,8.20469774778085
4095,21,13,2,356,14,0,61.76,100,80.88,61.76,4.4889496009364,15.2884379711,8.01294806010826
4096,20,14,2,356,14,0,58.82,100,79.41,58.82,1.50090958542863,27.1479832810422,11.3341970864656
4097,22,12,2,356,14,0,64.71,100,82.35,64.71,9.82127238855425,7.87977956951573,4.29709069377449
4098,21,13,2,356,14,0,61.76,100,80.88,61.76,9.94461666726055,23.5881969033496,10.7819571546097
4099,22,12,16,342,14,5,64.71,64.29,64.5,64.29,0.0344597614666447,36.6112194256594,6.75598601696235
4100,21,13,2,356,14,0,61.76,100,80.88,61.76,8.07635416841451,18.3353950680047,14.4686978212312
4101,18,16,1,357,14,0,52.94,100,76.47,52.94,4.49416130394114,48.8141678633459,0.768061864559352
4102,21,13,2,356,14,0,61.76,100,80.88,61.76,3.32741913221299,15.0043330000537,8.03421847721264
4103,18,16,1,357,14,0,52.94,100,76.47,52.94,4.7181116861718,49.2406643187047,5.63968061412
4104,21,13,4,354,14,0,61.76,100,80.88,61.76,5.77695858304205,14.7493357256688,1.81855649012895
4105,20,14,2,356,14,0,58.82,100,79.41,58.82,5.56285465913746,32.4750001610576,5.82329489972009
4106,18,16,1,357,14,0,52.94,100,76.47,52.94,6.31611082939752,41.1017421338864,18.3618934445042
4107,22,12,2,356,14,0,64.71,100,82.35,64.71,0.626638851292059,18.6614793395057,14.6729071172665
4108,21,13,2,356,14,0,61.76,100,80.88,61.76,7.63368436236707,7.55235833044071,10.0626725941283
4109,20,14,1,357,14,0,58.82,100,79.41,58.82,4.06523370301281,34.612278249728,13.5736050046987
4110,18,16,1,357,14,0,52.94,100,76.47,52.94,8.76324018825367,42.5498208810069,19.2575187479191
4111,18,16,1,357,14,0,52.94,100,76.47,52.94,4.10880715726044,42.3076636682805,17.0041568620277
4112,22,12,3,355,14,0,64.71,100,82.35,64.71,2.30286672087156,8.05176040690031,3.83882020911942
4113,21,13,4,354,14,0,61.76,100,80.88,61.76,2.03831653348501,1.152898282037,14.7107783442851
4114,20,14,1,357,14,0,58.82,100,79.41,58.82,3.58600065415576,36.4852868117786,11.3489036053669
4115,20,14,2,356,14,0,58.82,100,79.41,58.82,4.69475635042093,29.7081510882453,18.063614023756
4116,18,16,1,357,14,0,52.94,100,76.47,52.94,7.1190983260252,49.7678665708925,9.37940382128218
4117,18,16,1,357,14,0,52.94,100,76.47,52.94,9.51583507377969,43.7738678007905,7.44690670905565
4118,18,16,1,357,14,0,52.94,100,76.47,52.94,4.21033157507943,49.6084180541979,1.74613609499461
4119,21,13,2,356,14,0,61.76,100,80.88,61.76,9.85690031101096,17.3841558407602,13.5540416014064
4120,22,12,2,356,14,0,64.71,100,82.35,64.71,0.898705171757191,24.1418857888023,18.2790201571796
4121,21,13,2,356,14,0,61.76,100,80.88,61.76,4.21696170806028,22.1335185150293,13.7299533867171
4122,20,14,2,356,14,0,58.82,100,79.41,58.82,9.79655858668396,26.4589708412724,2.03363296433934
4123,21,13,2,356,14,0,61.76,100,80.88,61.76,9.06426304210192,19.7950129407304,12.0765714586582
4124,21,13,1,357,14,0,61.76,100,80.88,61.76,0.59781578707553,35.0041814483005,18.1967335208883
4125,18,16,1,357,14,0,52.94,100,76.47,52.94,6.57338661406299,49.3185247749377,1.85590718269506
4126,21,13,2,356,14,0,61.76,100,80.88,61.76,2.13598790704273,16.3179109294553,5.96712479322297
4127,21,13,2,356,14,0,61.76,100,80.88,61.76,4.75376928898056,7.54551362999086,15.2738710180773
4128,20,14,2,356,14,0,58.82,100,79.41,58.82,1.95333657614857,33.1390249507841,12.303287977033
4129,21,13,2,356,14,0,61.76,100,80.88,61.76,1.40330691898712,25.0465661320259,18.4150037071973
4130,22,12,8,350,14,1,64.71,92.86,78.78,64.71,1.06571797797836,11.0047451594027,0.563983360629343
4131,21,13,2,356,14,0,61.76,100,80.88,61.76,3.77510298203973,18.419127709651,16.0691791949668
4132,21,13,3,355,14,0,61.76,100,80.88,61.76,7.58376035669388,24.8804936137358,2.72384401288037
