"lhs_id","TP","FN","OFF_TARGET","CORRECT_ABSENCE","neg_samples_n","neg_samples_fp","sensitivity_pct","specificity_like_pct","avg_sens_spec_like_pct","min_sens_spec_like_pct","ont_bleed_ratio_min_pct","ont_min_nb_reads","ont_min_genome_coverage_pct"
46705,11,23,8,350,14,2,32.35,85.71,59.03,32.35,0.036242454609694,91,8.47264674886875
46706,13,21,6,352,14,0,38.24,100,69.12,38.24,7.84530948488628,49,4.44418618584645
46707,13,21,3,355,14,0,38.24,100,69.12,38.24,0.212729966446967,31,35.144276590676
46708,12,22,3,355,14,0,35.29,100,67.65,35.29,9.33793024434936,24,41.8256182476785
46709,12,22,3,355,14,0,35.29,100,67.65,35.29,8.06622391311205,24,38.2155219868232
46710,12,22,3,355,14,0,35.29,100,67.65,35.29,4.89785631590665,86,35.6439937281251
46711,12,22,3,355,14,0,35.29,100,67.65,35.29,0.195497906563967,13,49.8727884287175
46712,13,21,3,355,14,0,38.24,100,69.12,38.24,8.59015240732036,27,30.0230078303546
46713,11,23,3,355,14,0,32.35,100,66.18,32.35,6.10573712305878,91,35.8967582399753
46714,12,22,4,354,14,0,35.29,100,67.65,35.29,9.50976323543722,49,19.3391058376334
46715,12,22,3,355,14,0,35.29,100,67.65,35.29,9.1821058346193,37,45.7307321778868
46716,12,22,3,355,14,0,35.29,100,67.65,35.29,3.3773378930731,52,35.2150382331517
46717,13,21,4,354,14,0,38.24,100,69.12,38.24,2.29745994416564,41,18.2282979930638
46718,14,20,3,355,14,0,41.18,100,70.59,41.18,2.81932838139844,7,23.528152954892
46719,13,21,3,355,14,0,38.24,100,69.12,38.24,7.02784513857819,39,35.2848012754713
46720,13,21,6,352,14,0,38.24,100,69.12,38.24,7.19997165371303,80,5.31591034453246
46721,12,22,3,355,14,0,35.29,100,67.65,35.29,4.89567400751419,84,33.6899288104206
46722,12,22,3,355,14,0,35.29,100,67.65,35.29,4.21279619655423,27,49.547701282354
46723,11,23,3,355,14,0,32.35,100,66.18,32.35,8.89727916934409,70,48.0747401909265
46724,11,23,4,354,14,0,32.35,100,66.18,32.35,4.76052066229577,95,14.0166434164243
46725,11,23,3,355,14,0,32.35,100,66.18,32.35,3.24162295914832,64,48.8083858466216
46726,13,21,4,354,14,0,38.24,100,69.12,38.24,1.63812358578583,42,18.6556875403404
46727,12,22,4,354,14,0,35.29,100,67.65,35.29,4.06609244292306,61,20.7953952200622
46728,15,19,7,351,14,1,44.12,92.86,68.49,44.12,0.738505625917926,24,7.75898420371406
46729,12,22,4,354,14,0,35.29,100,67.65,35.29,5.23595649570411,64,14.8352163659675
46730,16,18,6,352,14,0,47.06,100,73.53,47.06,3.86149784380773,20,2.81468112142757
46731,12,22,4,354,14,0,35.29,100,67.65,35.29,7.83591152098193,56,13.368913717517
46732,14,20,3,355,14,0,41.18,100,70.59,41.18,7.13323955121888,6,33.8523047629377
46733,13,21,3,355,14,0,38.24,100,69.12,38.24,3.81052644495328,26,24.4952333452661
46734,11,23,3,355,14,0,32.35,100,66.18,32.35,0.300650300147245,91,39.1717775902529
46735,11,23,3,355,14,0,32.35,100,66.18,32.35,1.91229815819538,70,41.3027637314378
46736,13,21,6,352,14,0,38.24,100,69.12,38.24,3.89899870705674,74,5.67329596179875
46737,13,21,6,352,14,1,38.24,92.86,65.55,38.24,1.77461796584369,44,10.0727492389741
46738,13,21,6,352,14,0,38.24,100,69.12,38.24,9.76027405345403,70,7.43626647447946
46739,12,22,3,355,14,0,35.29,100,67.65,35.29,8.97811903941149,8,47.7497417920849
46740,12,22,3,355,14,0,35.29,100,67.65,35.29,2.60571195531595,61,35.0687264620947
46741,11,23,3,355,14,0,32.35,100,66.18,32.35,8.36076455836389,96,42.4425383327085
46742,13,21,3,355,14,0,38.24,100,69.12,38.24,4.78262024795841,38,24.3962972828891
46743,13,21,3,355,14,0,38.24,100,69.12,38.24,1.70493673792144,45,24.5752569073745
46744,14,20,3,355,14,0,41.18,100,70.59,41.18,9.23311516574433,20,27.1971529641148
46745,11,23,3,355,14,0,32.35,100,66.18,32.35,7.6714702067809,94,49.8715309619342
46746,16,18,4,354,14,0,47.06,100,73.53,47.06,6.76413418124707,3,13.9800981330819
46747,12,22,4,354,14,0,35.29,100,67.65,35.29,7.48718449075108,71,8.3232963685377
46748,14,20,6,352,14,0,41.18,100,70.59,41.18,6.7961385816205,32,3.72866141368262
46749,15,19,4,354,14,0,44.12,100,72.06,44.12,5.99903861437198,16,14.2758666781515
46750,13,21,4,354,14,0,38.24,100,69.12,38.24,7.29637679097173,38,9.48554891629762
46751,13,21,7,351,14,0,38.24,100,69.12,38.24,9.09216759451632,77,0.104906587932375
46752,11,23,3,355,14,0,32.35,100,66.18,32.35,2.62395955098344,61,39.414797887049
46753,12,22,4,354,14,0,35.29,100,67.65,35.29,8.86606564156115,75,13.9087737331647
46754,12,22,3,355,14,0,35.29,100,67.65,35.29,2.02491841372915,65,36.2359079664433
46755,16,18,4,354,14,0,47.06,100,73.53,47.06,6.59816613266529,7,13.2294993500347
46756,11,23,6,352,14,1,32.35,92.86,62.61,32.35,1.48498962913493,94,10.7822133216971
46757,15,19,7,351,14,0,44.12,100,72.06,44.12,3.51443075919005,27,6.29556765746244
46758,11,23,3,355,14,0,32.35,100,66.18,32.35,4.44854988519305,65,40.3130366099895
46759,11,23,3,355,14,0,32.35,100,66.18,32.35,9.54322678470672,80,39.9266318522354
46760,11,23,3,355,14,0,32.35,100,66.18,32.35,6.26799750200158,60,48.0875681647274
46761,12,22,4,354,14,0,35.29,100,67.65,35.29,9.36867158682866,88,10.1367226716699
46762,11,23,3,355,14,0,32.35,100,66.18,32.35,5.01187289002882,62,46.1905291207728
46763,13,21,4,354,14,0,38.24,100,69.12,38.24,4.17053702129768,42,15.911218671269
46764,12,22,3,355,14,0,35.29,100,67.65,35.29,2.7731088480148,87,25.8157969385941
46765,13,21,3,355,14,0,38.24,100,69.12,38.24,5.30708081350634,23,29.723058718041
